id;external_id;verification_status;status_info
1;Loan Provence;Specialiste SQL;Île-de-France Market Account
2;generating copy Borders;Robust;de
3;supply-chains Steel;back-end Home;Rubber Zambie
4;Île-de-France Customizable 1080p;d'Assas b b;Agent
5;Steel;Loire customized;Handmade Personal
6;interface;Bedfordshire IB;Refined deposit Berkshire
7;Tuna tertiary;a b teal;haptic Pound
8;enable;port Bretagne;Fresh
9;HDD a;Directeur;programming
10;functionalities Agent parsing;reintermediate;Generic Auvergne Mexique
