id;external_id;number;name;currency;status;language
1;monitor;Steel;Digitized multi-byte;bypass;Rubber;Picardie
2;Movies;Home Cotton Aruban;Computers Ethiopian monitor;Franc Saint-Honoré;payment;États-Unis
3;b;withdrawal HTTP Electronics;transform indexing Optional;a b;pixel de;Soap
4;paradigms capacitor;Ferronnerie;Krone Health;Vaneau Generic;des capacitor Languedoc-Roussillon;Tasty
5;web-enabled e-markets Small;up;communities a Colombie;Rubber Maurice neural;de Barbade;interfaces synthesize backing
6;République Managed invoice;optimize;Cambridgeshire;Rubber;Nord-Pas-de-Calais Administrateur;next-generation copying
7;Bourgogne Towels Limousin;Shoes;a front-end c;olive dedicated;navigate extend;Administrateur
8;world-class a;Specialiste programming interface;Czech Administrateur Investment;Analyste équatoriale;compressing;connect Granite reinvent
9;bus Tools front-end;Outdoors e-services;b Intelligent Franche-Comté;Tools;Limousin Credit;RAM
10;Lepic Market sticky;index;Nesle generating Movies;functionalities;Iraqi Superviseur maximize;reciprocal Alsace Wooden
