id;name;description;logo;logo_content_type
1;Table;open-source;../fake-data/blob/hipster.png;image/png
2;a;Refined applications e-commerce;../fake-data/blob/hipster.png;image/png
3;c;XML Chips Champagne-Ardenne;../fake-data/blob/hipster.png;image/png
4;Steel transmitting Languedoc-Roussillon;harness Bourgogne Hat;../fake-data/blob/hipster.png;image/png
5;a mesh;Analyste array;../fake-data/blob/hipster.png;image/png
6;Verde;Loan Music;../fake-data/blob/hipster.png;image/png
7;Bedfordshire b;Front-line plug-and-play Versatile;../fake-data/blob/hipster.png;image/png
8;Rustic Handcrafted JSON;Loan connecting systems;../fake-data/blob/hipster.png;image/png
9;schemas;Avon XML;../fake-data/blob/hipster.png;image/png
10;invoice Sleek azure;feed Kids;../fake-data/blob/hipster.png;image/png
