id;name;description;logo;logo_content_type
1;overriding;Baby CSS Savings;../fake-data/blob/hipster.png;image/png
2;Berkshire;Cambridgeshire;../fake-data/blob/hipster.png;image/png
3;Avon Rhône-Alpes B2C;Zealand du navigating;../fake-data/blob/hipster.png;image/png
4;clicks-and-mortar de;c Marcadet cross-platform;../fake-data/blob/hipster.png;image/png
5;Account;Awesome Franche-Comté;../fake-data/blob/hipster.png;image/png
6;Auto;Tools Metal;../fake-data/blob/hipster.png;image/png
7;24/365 Account Concrete;Stagiaire Wooden;../fake-data/blob/hipster.png;image/png
8;system-worthy revolutionary;Gloves bricks-and-clicks Wooden;../fake-data/blob/hipster.png;image/png
9;de Analyste;indexing Hat Outdoors;../fake-data/blob/hipster.png;image/png
10;neural;Soap support transmit;../fake-data/blob/hipster.png;image/png
